sample,read_id,upstream_flank_len,core_repeat_len,downstream_flank_len,total_length,cag_units,caa_units,cga_units,event_count,total_event_bp,frameshift_events,in_frame_events,avg_event_length,oof_patterns
H1,m84137_260214_004236_s1/26940418/ccs,50,128,88,266,15,0,0,5,14,3,2,2.8,3
H1,m84137_260214_004236_s1/163188232/ccs,57,150,77,284,19,0,0,7,15,6,1,2.142857142857143,5
H1,m84137_260214_004236_s1/174266215/ccs,50,138,90,278,15,1,0,7,18,7,0,2.5714285714285716,5
H1,m84137_260214_004236_s1/10358159/ccs,50,130,85,265,23,1,0,7,16,6,1,2.2857142857142856,4
H1,m84137_260214_004236_s1/30543021/ccs,50,136,89,275,26,0,0,2,16,2,0,8.0,0
H1,m84137_260214_004236_s1/220793943/ccs,57,131,85,273,31,1,0,4,14,3,1,3.5,2
H1,m84137_260214_004236_s1/209785784/ccs,50,199,24,273,12,0,0,7,67,6,1,9.571428571428571,3
H1,m84137_260214_004236_s1/47912489/ccs,50,157,85,292,22,1,0,5,16,3,2,3.2,1
H1,m84137_260214_004236_s1/62850644/ccs,50,121,90,261,13,1,0,3,7,3,0,2.3333333333333335,1
H1,m84137_260214_004236_s1/186454614/ccs,50,111,86,247,37,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/137693253/ccs,50,111,86,247,37,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/52104799/ccs,50,120,83,253,40,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/175965561/ccs,50,119,86,255,13,0,0,1,2,1,0,2.0,0
H1,m84137_260214_004236_s1/146014906/ccs,50,132,74,256,44,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/155977499/ccs,50,120,86,256,40,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/184288848/ccs,50,122,86,258,22,0,0,1,2,1,0,2.0,1
H1,m84137_260214_004236_s1/136643493/ccs,50,123,85,258,41,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/263918396/ccs,50,122,86,258,5,0,0,2,5,2,0,2.5,1
H1,m84137_260214_004236_s1/175309057/ccs,50,123,86,259,41,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/182718345/ccs,50,125,85,260,5,0,1,2,8,2,0,4.0,1
H1,m84137_260214_004236_s1/91557831/ccs,50,125,86,261,28,0,0,1,2,1,0,2.0,1
H1,m84137_260214_004236_s1/180553028/ccs,50,126,85,261,42,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/254348396/ccs,50,126,86,262,42,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/112593208/ccs,50,126,86,262,42,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/197984369/ccs,50,126,86,262,42,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/251532441/ccs,50,126,86,262,42,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/30474472/ccs,50,126,86,262,42,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/36768335/ccs,50,126,86,262,42,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/253035345/ccs,50,126,86,262,42,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/254411387/ccs,50,126,86,262,42,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/128324941/ccs,50,126,86,262,42,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/82971476/ccs,50,126,86,262,42,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/200740447/ccs,50,126,86,262,42,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/69731813/ccs,50,126,86,262,42,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/250350614/ccs,54,123,86,263,41,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/117704475/ccs,50,128,86,264,28,0,0,4,5,4,0,1.25,1
H1,m84137_260214_004236_s1/24515463/ccs,50,123,91,264,41,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/35457686/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/163254329/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/98309898/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/32835890/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
H1,m84137_260214_004236_s1/78973501/ccs,50,129,86,265,43,0,0,0,0,0,0,0.0,0
