Repeat_ID,Control_11,H1,H3,H1_vs_Control,H3_vs_Control,H1_vs_H3,H1_fold_change,H3_fold_change,H1_expanded,H3_expanded
SCA10_ATXN10,57.44958736993183,57.04118359577782,54.51118760757315,-0.4084037741540101,-2.938399762358678,2.529995988204668,0.9928910929938591,0.9488525523527679,False,False
SCA12_PPP2R2B,44.964214711729625,45.5152859179471,47.00692520775623,0.5510712062174719,2.042710496026608,-1.491639289809136,1.0122557729463408,1.0454296935712686,False,False
SCA17_TBP,70.57448215072719,69.0815691158157,69.07377338510413,-1.4929130349114956,-1.5007087656230595,0.00779573071156392,0.978846277161155,0.9787358161209321,False,False
SCA1_ATXN1,65.06463748290014,64.51376462491397,63.045766590389015,-0.5508728579861639,-2.0188708925111243,1.4679980345249604,0.9915334522822641,0.9689713034512533,False,False
SCA27B_FGF14,46.022887323943664,135.815712900097,119.7079939668175,89.79282557615333,73.68510664287383,16.1077189332795,2.9510472027564014,2.6010535393884067,True,True
SCA2_ATXN2,55.043887647622086,55.0380127963869,55.55549738219895,-0.005874851235184053,0.5116097345768651,-0.5174845858120491,0.9998932696892198,1.0092945784980172,False,False
SCA31_BEAN1,61.55462361081988,64.0126611957796,63.98242467718795,2.458037584959719,2.427801066368069,0.030236518591649997,1.0399326231040045,1.0394414086863382,False,False
SCA36_NOP56,45.013397841458875,51.0128078817734,51.01880877742947,5.9994100403145225,6.005410935970595,-0.006000895656072203,1.1332805415277685,1.1334138550731534,False,False
SCA37_DAB1,51.553876739562625,53.96367679762787,66.48502415458937,2.409800058065244,14.931147415026743,-12.521347356961499,1.0467433335855412,1.2896222041739982,False,True
SCA3_ATXN3,57.10348125478194,54.531016366942815,58.05,-2.572464887839125,0.9465187452180572,-3.518983633057182,0.95495082206352,1.0165754998542895,False,False
SCA4_ZFHX3,54.02788104089219,54.03681621702191,54.540889883171765,0.008935176129718059,0.5130088422795751,-0.504073666149857,1.0001653808359234,1.0094952611947023,False,False
SCA6_CACNA1A,46.03826787512588,44.53448275862069,42.610674389739344,-1.5037851165051919,-3.427593485386538,1.923808368881346,0.9673361925651925,0.9255490346708192,False,False
SCA7_ATXN7,49.53142857142857,47.52430250921214,48.01420368691448,-2.007126062216429,-1.5172248845140928,-0.4899011777023361,0.9594777271702959,0.9693684408410284,False,False
SCA8_ATXN8OS,56.4296060766649,57.050084889643465,59.60593831075238,0.6204788129785612,3.176332234087475,-2.555853421108914,1.0109956254547583,1.056288399918513,False,False
SD5_HOXD13,48.01359044995409,48.0061804697157,48.019196692262256,-0.007409980238385572,0.005606242308168419,-0.01301622254655399,0.9998456691080808,1.000116763654949,False,False
