sample,read_id,allele,CAG_count,CAA_count,Repeat_region_length,Repeat_matches_bp,Repeat_insertions_bp,Repeat_complexity_score,Repeat_class,Read_length,Mapping_quality
Control_11,m84137_260214_004236_s1/58065194/ccs,1,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/112722387/ccs,1,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/238423503/ccs,1,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/22350434/ccs,1,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/64620008/ccs,1,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/237765869/ccs,1,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/253300179/ccs,0,8,2,202,190,12,0.0594059405940594,Interrupted,202,60
Control_11,m84137_260214_004236_s1/70452188/ccs,0,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/184484811/ccs,0,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/258605770/ccs,1,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/212865648/ccs,0,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/265946977/ccs,1,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/245760790/ccs,1,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/24644613/ccs,0,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/139853979/ccs,1,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/153026744/ccs,0,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/163513424/ccs,1,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/164823442/ccs,0,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/144574790/ccs,0,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/119538920/ccs,1,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/112067261/ccs,1,8,2,202,193,9,0.04455445544554455,Pure,202,60
Control_11,m84137_260214_004236_s1/133237522/ccs,1,8,2,202,193,9,0.04455445544554455,Pure,202,60
