sample,read_id,allele,CAG_count,CAA_count,CCG_count,repeat_length_bp,classification,is_clean,is_interrupted,is_fragmented,mapq
H1,m84137_260214_004236_s1/136643493/ccs,1,1,1,11,258,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/91557831/ccs,1,1,2,12,261,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/253035345/ccs,1,2,2,12,262,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/117704475/ccs,1,5,2,12,264,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/24515463/ccs,1,2,2,11,264,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/35457686/ccs,1,1,2,12,265,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/98309898/ccs,1,1,2,12,265,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/88869636/ccs,1,4,3,12,265,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/133895988/ccs,1,1,2,12,265,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/125703149/ccs,1,5,2,12,265,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/224663430/ccs,1,1,2,12,266,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/80153931/ccs,1,5,2,12,266,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/239666375/ccs,1,3,2,12,267,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/203359391/ccs,1,3,2,12,268,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/184419220/ccs,1,6,2,12,268,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/161547740/ccs,1,1,2,12,268,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/130483882/ccs,1,7,3,12,268,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/60163935/ccs,1,1,2,12,268,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/224199709/ccs,1,1,2,12,268,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/107483187/ccs,1,1,2,12,268,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/212538218/ccs,1,1,2,12,268,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/38798205/ccs,1,1,2,12,268,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/240584796/ccs,1,1,2,12,268,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/37224535/ccs,1,1,2,12,268,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/65668822/ccs,1,1,2,12,268,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/137560590/ccs,1,1,2,12,268,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/212664856/ccs,1,1,2,12,268,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/234229541/ccs,1,1,2,12,268,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/24840167/ccs,1,1,2,12,268,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/201656223/ccs,1,1,2,12,268,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/264634820/ccs,1,1,2,12,268,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/110166443/ccs,1,1,2,12,268,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/122487975/ccs,1,1,2,12,268,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/135790773/ccs,1,1,2,12,268,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/2296100/ccs,1,3,2,12,268,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/202376432/ccs,1,2,2,12,268,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/80023722/ccs,1,13,2,13,269,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/212336748/ccs,1,2,2,12,269,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/249629939/ccs,1,1,3,12,269,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/4525167/ccs,1,1,2,12,269,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/192086480/ccs,1,1,2,12,270,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/19925720/ccs,1,1,2,12,271,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/222628608/ccs,1,1,2,12,271,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/97259308/ccs,1,2,2,12,271,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/99422763/ccs,1,1,2,12,271,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/218107296/ccs,1,1,2,12,271,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/217518111/ccs,1,1,2,12,271,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/86050297/ccs,1,2,2,12,271,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/205915285/ccs,1,1,2,13,271,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/247730601/ccs,1,1,2,12,271,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/51904977/ccs,1,1,2,12,271,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/147785492/ccs,1,1,2,12,271,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/176686266/ccs,1,1,2,12,271,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/106829647/ccs,1,1,2,12,271,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/42930539/ccs,1,1,2,12,271,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/196284785/ccs,1,1,2,12,271,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/213322757/ccs,1,6,3,12,272,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/127534761/ccs,1,2,2,12,273,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/129504884/ccs,1,2,2,12,273,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/200410448/ccs,1,1,2,12,274,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/27924264/ccs,1,1,2,12,274,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/71369790/ccs,1,1,1,12,274,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/55449488/ccs,1,1,2,12,274,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/208078366/ccs,1,1,2,12,274,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/93525321/ccs,1,1,2,12,274,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/36241879/ccs,1,1,2,12,274,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/170659429/ccs,1,1,2,12,274,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/202180114/ccs,1,1,2,12,274,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/182258448/ccs,1,1,2,12,274,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/231997726/ccs,1,1,2,12,274,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/51253480/ccs,1,1,2,12,274,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/135988489/ccs,1,1,2,12,274,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/255591533/ccs,1,4,2,11,275,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/95159073/ccs,1,1,2,12,275,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/31588605/ccs,1,2,3,12,276,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/248776177/ccs,1,2,2,12,277,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/139984935/ccs,1,3,2,12,277,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/226367007/ccs,1,1,2,12,277,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/259396447/ccs,1,1,2,12,277,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/149358576/ccs,1,2,2,12,277,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/70653543/ccs,1,1,2,12,277,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/175900655/ccs,1,3,2,12,277,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/136645230/ccs,1,1,2,12,277,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/97517751/ccs,1,1,3,13,278,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/55773683/ccs,1,4,2,12,279,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/5898744/ccs,1,1,2,12,280,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/151848780/ccs,1,1,2,12,280,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/228657724/ccs,1,1,2,12,280,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/191825574/ccs,1,1,2,12,280,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/67962097/ccs,1,1,2,12,280,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/214631406/ccs,1,1,2,12,280,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/182061009/ccs,1,1,2,12,281,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/237700405/ccs,1,1,2,12,283,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/209850769/ccs,1,1,2,12,283,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/210306724/ccs,1,1,2,12,283,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/102301922/ccs,1,1,2,12,283,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/224726198/ccs,1,1,2,12,283,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/224855079/ccs,1,1,2,12,285,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/166597609/ccs,1,3,2,12,286,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/96273784/ccs,1,4,3,13,288,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/265557155/ccs,1,1,2,12,292,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/241109075/ccs,1,1,2,12,292,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/78974894/ccs,1,1,2,13,295,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/126552328/ccs,1,2,4,13,296,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/34149804/ccs,1,1,2,12,315,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/257038192/ccs,1,1,2,12,341,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/207750403/ccs,1,1,2,12,844,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/142083520/ccs,1,2,1,7,1080,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/14815194/ccs,1,100,5,11,330,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/55115834/ccs,1,89,4,13,273,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/76615118/ccs,1,90,1,12,277,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/113316916/ccs,0,84,3,12,198,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/165347999/ccs,0,81,2,10,194,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/91491464/ccs,0,85,3,14,197,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/26677939/ccs,1,108,6,10,269,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/217191038/ccs,1,65,2,13,267,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/135991485/ccs,1,93,1,13,270,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/34018995/ccs,1,66,2,14,269,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/42340541/ccs,0,1,1,12,186,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/25494885/ccs,0,7,1,12,191,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/102106122/ccs,0,1,2,11,192,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/126484853/ccs,0,1,2,12,192,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/41681131/ccs,0,2,2,12,193,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/250545760/ccs,0,1,2,11,193,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/245826196/ccs,0,6,2,12,195,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/29628172/ccs,0,2,2,12,195,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/227086205/ccs,0,2,2,11,195,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/55445989/ccs,0,1,2,12,196,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/238552642/ccs,0,1,2,12,196,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/94113604/ccs,0,1,2,12,196,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/142344309/ccs,0,4,2,12,196,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/133499607/ccs,0,1,2,12,196,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/105842775/ccs,0,1,2,12,196,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/153748553/ccs,0,2,2,12,196,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/131667844/ccs,0,1,2,12,196,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/173999844/ccs,0,1,2,12,196,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/132716073/ccs,0,6,2,12,196,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/42078626/ccs,0,2,2,12,196,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/205129202/ccs,0,3,2,12,196,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/79891480/ccs,0,1,2,12,196,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/249367962/ccs,0,2,2,12,196,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/15929449/ccs,0,2,2,13,196,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/152439646/ccs,0,1,2,12,196,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/21957030/ccs,0,10,2,12,196,CAA_interrupted,False,True,False,60
H1,m84137_260214_004236_s1/14158621/ccs,0,1,2,12,196,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/47974954/ccs,0,1,2,12,196,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/44041471/ccs,0,1,2,12,196,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/110760999/ccs,0,1,2,12,196,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/67045569/ccs,0,1,2,12,196,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/79497137/ccs,0,1,2,12,196,fragmented_noisy,False,False,True,60
H1,m84137_260214_004236_s1/219677075/ccs,0,2,2,12,196,CAA_interrupted,False,True,False,60
